Keyword, Token_1, Token_2, Flag, Fields
SPC, 0x89, 0x0, 0x00, --------
STEREO, &C8, &A2, 0xA6, 2P-RL-S-
STR$, 0xC3, 0x0, 0x00, --------
STRING$(, 0xC4, 0x0, 0x00, --------
SOUND, 0xD4, 0x0, 0x02, ------M-
STOP, 0xFA, 0x0, 0x01, -------C
SUM, &C6, &8E, 0x85, 2----S-C
SWAP, &C8, &94, 0xA6, 2P-RL-S-
SYS, &C8, &99, 0xA6, 2P-RL-S-
TAN, 0xB7, 0x0, 0x00, --------
TEMPO, &C8, &9F, 0xA6, 2P-RL-S-
TEXTLOAD, &C7, &9B, 0xA6, 2P-RL-S-
TEXTSAVE, &C7, &9C, 0xA6, 2P-RL-S-
THEN, 0x8C, 0x0, 0x14, ---L-S--
TO, 0xB8, 0x0, 0x00, --------
TAB(, 0x8A, 0x0, 0x00, --------
TRACE, 0xFC, 0x0, 0x12, ---L--M-
TIME, 0x91, 0x0, 0x43, -P----MC
TINT, &C8, &9C, 0xA6, 2P-RL-S-
TRUE, 0xB9, 0x0, 0x01, -------C
UNTIL, 0xFD, 0x0, 0x02, ------M-
USR, 0xBA, 0x0, 0x00, --------
VDU, 0xEF, 0x0, 0x02, ------M-
VAL, 0xBB, 0x0, 0x00, --------
VOICES, &C8, &A0, 0xA6, 2P-RL-S-
VOICE, &C8, &A1, 0xA6, 2P-RL-S-
VPOS, 0xBC, 0x0, 0x01, -------C
WAIT, &C8, &96, 0x85, 2----S-C
WHEN, &C9, , 0x06, ------SM-
WHILE, &C8, &95, 0xA6, 2P-RL-S-
WIDTH, 0xFE, 0x0, 0x02, ------M-
PAGE, 0xD0, 0x0, 0x00, --------
PTR, 0xCF, 0x0, 0x00, --------
TIME, 0xD1, 0x0, 0x00, --------
LOMEM, 0xD2, 0x0, 0x00, --------
HIMEM, 0xD3, 0x0, 0x00, --------
